lsoa_code,IMDScore
E01001235,14.225
E01001236,16.278
E01001237,17.023
E01001238,24.534
E01001239,32.662
E01001240,20.451
E01001241,22.203
E01001242,26.914
E01001243,25.381
E01001244,28.857
E01001245,15.441
E01001246,32.021
E01001247,21.278
E01001248,17.386
E01001249,41.534
E01001250,37.117
E01001251,18.709
E01001252,25.654
E01001253,15.645
E01001254,14.588
E01001255,13.456
E01001257,40.826
E01001258,15.858
E01001259,20.119
E01001260,20.741
E01001261,22.674
E01001262,31.334
E01001263,34.487
E01001264,24.398
E01001265,20.568
E01001266,16.109
E01001267,31.849
E01001268,18.541
E01001269,13.557
E01001270,15.651
E01001271,16.877
E01001272,19.058
E01001273,9.462
E01001274,8.494
E01001275,19.035
E01001276,20.56
E01001277,17.535
E01001278,23.769
E01001279,7.15
E01001280,13.686
E01001281,7.459
E01001282,35.01
E01001283,40.085
E01001284,15.752
E01001285,23.184
E01001286,23.532
E01001287,31.223
E01001288,16.018
E01001289,15.526
E01001290,12.68
E01001291,19.365
E01001292,13.864
E01001293,17.362
E01001294,22.485
E01001295,17.222
E01001296,22.011
E01001297,23.36
E01001298,27.974
E01001299,8.007
E01001300,8.87
E01001301,20.032
E01001302,11.697
E01001303,9.914
E01001304,14.074
E01001305,7.673
E01001306,8.308
E01001307,11.103
E01001308,11.391
E01001309,15.083
E01001310,18.59
E01001311,28.942
E01001312,16.657
E01001313,13.693
E01001314,10.954
E01001315,18.255
E01001316,31.82
E01001317,26.465
E01001318,36.013
E01001319,18.036
E01001320,41.628
E01001321,26.07
E01001322,23.866
E01001323,23.054
E01001324,33.507
E01001325,26.632
E01001326,33.051
E01001327,30.832
E01001328,33.629
E01001329,24.129
E01001330,42.882
E01001331,37.261
E01001332,39.944
E01001333,39.653
E01001334,41.199
E01001335,20.851
E01001336,24.895
E01001337,35.728
E01001338,27.178
E01001339,35.644
E01001340,38.035
E01001341,12.828
E01001342,14.813
E01001343,15.378
E01001344,18.422
E01001345,17.505
E01001346,12
E01001347,18.682
E01001348,19.431
E01001349,33.598
E01001350,16.166
E01001351,28.006
E01001352,15.249
E01001353,23.368
E01001354,22.226
E01001355,24.463
E01001356,45.936
E01001357,41.995
E01001358,45.789
E01001359,24.895
E01001360,29.132
E01001361,34.209
E01001362,29.18
E01001363,26.151
E01001364,42.16
E01001365,28.015
E01001366,28.541
E01001367,30.306
E01001368,28.942
E01001369,24.898
E01001370,25.905
E01001371,27.142
E01001372,31.007
E01001373,26.285
E01001374,11.21
E01001375,5.53
E01001376,23.916
E01001377,8.237
E01001379,6.511
E01001380,12.501
E01001381,18.031
E01001382,8.388
E01001383,11.57
E01001384,9.84
E01001385,8.565
E01001386,9.924
E01001387,16.451
E01001388,34.821
E01001389,21.071
E01001390,10.543
E01001391,25.639
E01001392,10.702
E01001393,19.095
E01001394,26.964
E01001395,35.279
E01001396,19.048
E01001397,24.623
E01001398,9.217
E01001399,11.221
E01001400,10.379
E01001401,12.406
E01001402,8.991
E01001403,15.86
E01001404,19.168
E01001405,12.081
E01001406,24.464
E01001407,18.518
E01001408,16.678
E01001409,34.902
E01001410,45.507
E01001411,13.411
E01001412,28.35
E01001413,7.768
E01001414,42.821
E01001415,15.471
E01001416,7.674
E01001417,8.251
E01001418,21.09
E01001419,15.206
